id,text,technique
1,"The so-called 'reformer' is nothing but a corrupt puppet of foreign interests.",name_calling
2,"These radical extremists want to destroy everything we have built.",name_calling
3,"Our brave patriots stood firm against the tyrants in the capital.",name_calling
4,"This is the single greatest catastrophe our nation has ever faced.",exaggeration_minimization
5,"It was just a minor scuffle outside the venue, nothing to worry about.",exaggeration_minimization
6,"Millions upon millions of jobs will vanish overnight if this passes.",exaggeration_minimization
7,"The economy collapsed because of one man's greed and nothing else.",causal_oversimplification
8,"Crime is rising simply because judges have gotten too soft on offenders.",causal_oversimplification
9,"Wages have stagnated for one simple reason: immigrants took the jobs.",causal_oversimplification
10,"Build the wall!",slogans
11,"Take back our country, one vote at a time!",slogans
12,"Justice for all, corruption for none.",slogans
13,"Either you support this bill or you don't care about children at all.",black_and_white
14,"There is no other choice: we must act now, exactly as proposed, or all is lost.",black_and_white
15,"You're either with us or you're against us.",black_and_white
16,"It is what it is, there's nothing more to say about it.",thought_terminating_cliche
17,"Boys will be boys, so let's move on.",thought_terminating_cliche
18,"That's just the way things are, end of story.",thought_terminating_cliche
19,"This policy is exactly what dictators have always used to control the population.",reductio_ad_hitlerum
20,"Only fascists have ever supported this kind of censorship law.",reductio_ad_hitlerum
21,"That argument sounds like something straight out of a totalitarian playbook.",reductio_ad_hitlerum
22,"The senator voted 54-46 against the amended bill on Tuesday afternoon.",none
23,"Economists cite trade policy, energy prices, and consumer demand as factors in the slowdown.",none
24,"The city council will reconvene next Thursday to review the budget draft.",none
25,"Turnout was about three points lower than in the previous election, officials said.",none
